반복문

번호        제목                설명
2438        별 찍기 - 1         별을 찍는 문제 1
2439        별 찍기 - 2         별을 찍는 문제 2
8393        합                  1부터 N까지의 합을 구하는 문제. 물론 반복문 없이 풀 수도 있습니다.
10950       A+B - 3             A+B를 여러 번 출력하는 문제
10951       A+B - 4             입력이 끝날 때까지 A+B를 출력하는 문제. EOF에 대해 알아 보세요.
10952       A+B - 5             0 0이 들어올 때까지 A+B를 출력하는 문제
11021       A+B - 7             A+B를 조금 더 아름답게 출력하는 문제
11022       A+B - 8             A+B를 바로 위 문제보다 아름답게 출력하는 문제
15552       빠른 A+B            빠르게 입력받고 출력하는 문제
25304       영수증              💸
25314       코딩은 체육과목입니다   코딩 공부를 잘 하여 이렇게 long long long long...을 칠판에 적는 일이 없도록 합시다.
