문자열

번호        제목                설명
1152        단어의 개수         단어의 개수를 구하는 문제
2675        문자열 반복         각 문자를 반복하여 출력하는 문제
2743        단어 길이 재기      문자열을 입력받고 길이를 재는 문제
2908        상수                숫자를 뒤집어서 비교하는 문제
5622        다이얼              규칙에 따라 문자에 대응하는 수를 출력하는 문제
9086        문자열              문...제
10809       알파벳 찾기         한 단어에서 각 알파벳이 처음 등장하는 위치를 찾는 문제
11654       아스키 코드         데이터는 결국 0과 1일 텐데 문자를 어떻게 만드는 걸까요? 아스키 코드에 대해 알아봅시다.
11718       그대로 출력하기     그대로 출력하기
11720       숫자의 합           정수를 문자열로 입력받는 문제. Python처럼 정수 크기에 제한이 없다면 상관 없으나, 예제 3은 일반적인 정수 자료형에 담기에 너무 크다는 점에 주목합시다.
27866       문자와 문자열       문자열을 입력받고 문자열의 특정 위치를 읽어 봅시다.
