스택, 큐, 덱

번호        제목                설명
28278       스택2               스택의 개념을 익히고 실습하는 문제
10733       제로                가장 최근에 쓴 수를 지우는 문제
9012        괄호                주어진 문자열이 올바른 괄호열인지 판단하는 문제
4949        균형잡힌 세상       위와 같은데 괄호의 종류가 다양해진 문제
12789       도키도키 간식드리미  스택을 활용하여 오름차순으로 학생을 빼내는 문제
18258       큐2                 큐의 개념을 익히고 실습하는 문제
2164        카드2               큐를 사용하여 동작을 구현하는 문제
11866       요세푸스 문제 0     큐를 활용하여 배열을 돌리는 문제
28279       덱2                 덱의 개념을 익히고 실습하는 문제
2346        풍선 터뜨리기       덱을 활용하여 배열을 양방향으로 돌리는 문제
24511       queuestack          큐와 스택의 이해를 시험하는 문제
